transaction_date,total_transactions,fraud_transactions,fraud_loss
03-12-2024,121,8,934097.6094
17-06-2024,127,8,930333.4561
05-05-2024,102,12,885893.2466
31-05-2024,138,13,830596.9739
18-02-2024,93,4,506291.6182
20-12-2024,118,7,676649.5908
06-03-2024,114,17,1438676.862
30-07-2024,116,11,1037261.218
13-07-2024,100,3,279928.1836
28-09-2024,107,13,1181902.89
23-01-2024,127,20,1467372.653
06-01-2024,102,13,773781.0748
11-05-2024,87,8,523440.2205
25-05-2024,108,15,1079050.318
11-09-2024,143,8,901608.1953
10-11-2024,94,11,1154057.925
29-03-2024,130,10,1493829.084
07-07-2024,96,11,1131730.336
23-12-2024,120,13,1323825.848
24-10-2024,131,11,1031161.74
15-04-2024,147,17,925827.2546
20-06-2024,135,8,654863.6085
15-02-2024,121,15,1152804.391
18-03-2024,120,13,860186.5343
19-11-2024,137,16,1228539.118
06-12-2024,139,14,1442082.889
04-04-2024,124,13,475873.0718
02-11-2024,121,4,375181.9785
16-07-2024,107,11,907876.4269
21-04-2024,117,16,1090467.881
14-09-2024,107,14,704893.8923
21-02-2024,118,13,887895.1787
04-02-2024,93,15,1206082.935
29-06-2024,106,14,1209676.406
28-08-2024,123,10,815951.4247
27-10-2024,102,19,1569773.519
09-01-2024,132,16,1016372.338
27-04-2024,107,14,803987.9462
23-06-2024,100,7,564734.2354
10-10-2024,125,11,942251.5317
14-05-2024,132,15,1567180.573
06-06-2024,131,10,689602.126
15-03-2024,120,5,822303.71
05-08-2024,122,13,1079282.081
09-12-2024,131,5,640548.1287
15-01-2024,113,15,1313823.471
22-11-2024,111,2,75016.30249
01-04-2024,121,11,748931.6206
01-02-2024,141,12,1326644.135
19-07-2024,141,17,1365211.539
17-09-2024,140,10,850456.3929
31-08-2024,106,10,848310.6891
16-11-2024,98,4,362405.6814
07-04-2024,97,9,786746.8779
24-04-2024,135,13,1212432.958
30-10-2024,123,12,1427589.625
24-02-2024,101,11,721961.46
26-06-2024,128,7,896691.6104
09-06-2024,112,11,1019748.228
29-12-2024,110,13,1346169.695
12-03-2024,132,21,1900171.052
08-08-2024,120,14,925719.8755
25-08-2024,108,11,913430.2207
12-12-2024,120,7,460111.0137
07-10-2024,151,17,1510337.99
12-01-2024,129,15,835608.928
20-09-2024,143,18,1972935.635
17-05-2024,95,13,969241.0893
29-01-2024,118,19,1156457.743
03-06-2024,128,15,1162329.097
