customer_id,city,account_type,income,total_transactions,total_spend,avg_transaction_amount,max_transaction_amount,avg_distance,fraud_transactions,fraud_rate_pct
36,Pune,Current,38948908,30,709069.2691,23635.6423,218964.375,6,2,6.67
37,Chennai,Premium,48685372,25,848520.9021,33940.83608,170563.3906,8,2,8
38,Ahmedabad,Premium,62818976,25,735314.3208,29412.57283,115167.2891,4,2,8
39,Chennai,Premium,39081292,21,1094226.926,52106.0441,222358.0625,0,1,4.76
40,Hyderabad,Current,42366756,25,1226383.504,49055.34016,202893.9688,8,2,8
41,Pune,Current,45856748,23,1016463.338,44194.05817,238846.0938,0,1,4.35
42,Kolkata,Current,17163810,18,276140.1615,15341.12008,62175.39063,5,0,0
43,Kolkata,Current,83258256,24,912061.7441,38002.57267,179259.8594,4,1,4.17
44,Hyderabad,Current,37437096,18,549822.5038,30545.69465,70508.70313,0,3,16.67
45,Delhi,Premium,35116736,18,1278475.905,71026.43918,254556.9844,5,6,33.33
46,Pune,Current,45404164,21,1102078.795,52479.94261,248143.4844,9,7,33.33
47,Hyderabad,Current,216108448,30,1309713.683,43657.12276,260788.0469,3,2,6.67
48,Pune,Premium,15864076,23,830057.5901,36089.46044,264944.125,13,13,56.52
49,Delhi,Premium,22364976,28,1251962.419,44712.94352,235561.625,10,3,10.71
50,Delhi,Premium,14848294,25,1216301.159,48652.04637,199960.6875,4,0,0
51,Chennai,Current,54737992,30,978658.6691,32621.95564,188833.9844,6,4,13.33
52,Pune,Current,69337304,22,867251.2479,39420.51127,196441.875,9,3,13.64
53,Ahmedabad,Premium,41423644,25,1242444.102,49697.76407,221568.9219,4,3,12
54,Chennai,Current,100390136,20,928984.1466,46449.20733,207358.3281,5,0,0
55,Ahmedabad,Current,125553048,18,821803.4546,45655.74748,197816.3281,0,0,0
56,Delhi,Premium,67155456,25,1271850.513,50874.02053,202872.4844,4,1,4
57,Bangalore,Premium,35671180,34,2142908.653,63026.72508,269849.125,0,6,17.65
58,Hyderabad,Premium,105696224,20,417205.0101,20860.2505,151166.6563,0,1,5
59,Delhi,Current,36612328,20,451584.7011,22579.23506,131563.3594,0,2,10
60,Chennai,Current,55523352,24,1760183.085,73340.96188,220588.1563,4,3,12.5
61,Ahmedabad,Current,98345232,22,1071855.349,48720.69769,239825.6563,4,2,9.09
62,Ahmedabad,Current,82954936,20,1176792.729,58839.63643,181549.1875,0,1,5
63,Mumbai,Premium,563705856,27,980987.9866,36332.88839,146403.6094,7,8,29.63
64,Mumbai,Current,114506368,26,1386988.984,53345.73015,270831.3438,0,4,15.38
65,Bangalore,Premium,131028168,25,467643.4675,18705.7387,141602.1563,4,2,8
66,Bangalore,Current,33932996,24,917180.4744,38215.8531,241680.9375,8,2,8.33
67,Kolkata,Current,93030504,25,519606.8304,20784.27322,98088.53906,20,4,16
68,Hyderabad,Current,48762156,27,1083672.071,40136.00261,275260.125,3,3,11.11
69,Chennai,Premium,37798244,20,273172.9587,13658.64793,79213.60938,15,3,15
70,Hyderabad,Current,191579504,25,967787.6635,38711.50654,206346.2031,4,1,4
71,Pune,Current,95665984,21,1238593.519,58980.64378,225163.6875,4,3,14.29
72,Chennai,Current,483153216,20,850040.8251,42502.04125,169062.4063,5,2,10
73,Kolkata,Current,105101616,20,821582.424,41079.1212,196067.2031,5,2,10
74,Hyderabad,Current,301549792,12,302941.324,25245.11033,99682.02344,8,2,16.67
75,Bangalore,Premium,51112868,20,461429.8686,23071.49343,114583.3594,5,1,5
76,Kolkata,Premium,88442032,24,422050.9039,17585.45433,176396.3125,0,1,4.17
77,Hyderabad,Premium,45864232,27,1057854.352,39179.79081,158886.0938,3,0,0
78,Mumbai,Current,88061040,25,1746822.899,69872.91596,226663.4844,4,2,8
79,Chennai,Premium,15558713,22,598862.8223,27221.03738,239044.4063,0,0,0
80,Kolkata,Premium,217505888,20,658366.7007,32918.33503,230516.6563,5,1,5
81,Mumbai,Premium,153447088,25,682215.9785,27288.63914,138376.7969,4,3,12
82,Chennai,Premium,41384732,20,546979.5897,27348.97949,207967.1563,0,1,5
83,Kolkata,Premium,45927660,18,951825.2419,52879.18011,184701.3438,5,5,27.78
84,Delhi,Premium,47415716,21,978352.4558,46588.21218,212594.1875,0,3,14.29
85,Hyderabad,Premium,21565410,19,558373.5756,29388.08292,119747.0469,5,1,5.26
86,Bangalore,Current,67595392,11,557335.132,50666.83018,272228.9688,0,2,18.18
87,Kolkata,Current,90757640,10,252351.8593,25235.18593,173369.7188,0,0,0
88,Pune,Premium,54157560,18,416160.4042,23120.02245,178006.8281,5,8,44.44
89,Hyderabad,Current,17352228,18,276322.0484,15351.22491,102097.3203,5,0,0
90,Bangalore,Current,516830912,28,556881.9655,19888.64162,171532.4375,3,0,0
91,Delhi,Current,48589808,27,1244590.702,46095.95191,266863.6563,11,13,48.15
92,Bangalore,Premium,79050584,20,745015.451,37250.77255,197392.0156,15,2,10
93,Bangalore,Current,25317442,26,576361.6513,22167.75582,261608.3125,0,2,7.69
94,Chennai,Current,65683560,26,602886.2574,23187.93298,202948.7344,7,3,11.54
95,Chennai,Current,20734342,28,530951.2018,18962.54292,103200.9063,7,2,7.14
96,Pune,Premium,139633120,26,2195274.407,84433.63106,212618.2969,11,5,19.23
97,Kolkata,Premium,81700264,19,771369.109,40598.37416,200085.2656,0,0,0
98,Ahmedabad,Premium,33785324,19,595830.2584,31359.48728,192110.8438,10,3,15.79
99,Kolkata,Premium,81702616,13,340769.4607,26213.03544,124058.1719,7,2,15.38
100,Mumbai,Current,27098632,15,810373.7397,54024.91598,129709.25,6,5,33.33
101,Mumbai,Current,25932244,20,684820.9359,34241.0468,190737.2344,0,7,35
102,Kolkata,Premium,33102894,16,607314.1735,37957.13585,178100.0625,0,0,0
103,Pune,Current,37635284,19,475994.3056,25052.33187,175480.1563,0,0,0
104,Mumbai,Current,126655096,27,1298408.149,48089.19071,227935.75,3,3,11.11
105,Pune,Premium,43315100,19,922151.6464,48534.29718,255142.2031,0,1,5.26
106,Chennai,Current,26308298,17,588964.9156,34644.99503,275407.4688,11,3,17.65
107,Pune,Current,308040736,27,1312447.565,48609.16906,198964.1563,7,2,7.41
108,Delhi,Premium,182802800,27,2098827.875,77734.36575,266312.9688,11,0,0
109,Pune,Current,71994800,24,881788.1675,36741.17365,127015.8125,0,0,0
110,Bangalore,Premium,30065378,16,723706.5435,45231.65897,187268.7656,6,0,0
111,Hyderabad,Current,162462896,36,1838635.017,51073.19492,194531.5938,5,3,8.33
112,Pune,Current,161199056,35,1160012.421,33143.21202,173300.4844,8,3,8.57
113,Bangalore,Current,64273940,21,432334.1335,20587.33969,120517.4922,4,2,9.52
114,Hyderabad,Premium,72134056,17,439240.6664,25837.68626,167540.2031,5,1,5.88
115,Bangalore,Premium,299622272,18,893586.1154,49643.67308,270126.9063,5,0,0
116,Delhi,Current,271135328,26,759421.3992,29208.51535,132448.3125,0,1,3.85
117,Mumbai,Current,198819440,21,862584.0227,41075.42965,132338.8438,0,1,4.76
118,Ahmedabad,Current,79494344,20,354188.9315,17709.44658,96387.38281,5,4,20
119,Kolkata,Premium,101603496,18,236428.803,13134.9335,36986.12109,0,0,0
120,Mumbai,Current,80443400,20,374079.1887,18703.95943,181618.9688,5,2,10
121,Delhi,Premium,122798520,21,1048861.43,49945.7824,148261.4063,4,2,9.52
122,Hyderabad,Current,37979708,21,864941.9331,41187.7111,135977.9219,0,0,0
123,Bangalore,Premium,10469706,21,978822.2361,46610.58267,227029.8281,4,1,4.76
124,Pune,Current,119559496,16,542652.9529,33915.80956,112637.9375,0,1,6.25
125,Ahmedabad,Premium,17895856,20,1232656.069,61632.80343,203353.1875,5,2,10
126,Hyderabad,Premium,34096912,18,429799.4225,23877.74569,82599.88281,0,0,0
127,Pune,Current,100496856,26,870684.7922,33487.87662,202154.3906,0,1,3.85
128,Delhi,Current,461150304,19,726587.9697,38241.47209,166380.6875,10,2,10.53
129,Kolkata,Current,60599656,22,1066798.934,48490.86062,195847.6875,9,1,4.55
130,Bangalore,Premium,25346262,31,801709.8037,25861.60657,102718.1484,6,14,45.16
131,Ahmedabad,Current,154448832,24,996062.3278,41502.59699,271118.4688,12,2,8.33
132,Hyderabad,Current,310498368,21,203984.3093,9713.538539,43912.23047,4,0,0
133,Mumbai,Current,31857176,28,617891.4662,22067.55236,81622.40625,3,7,25
134,Kolkata,Current,84417720,19,996238.7928,52433.62067,197374.8438,0,1,5.26
135,Pune,Current,29070558,23,1563758.981,67989.52093,244552.6563,0,4,17.39
136,Bangalore,Current,18635494,22,1015363.248,46152.87491,269096.125,4,3,13.64
137,Bangalore,Current,1136970880,15,1435224.998,95681.66654,227593.7969,6,2,13.33
138,Delhi,Current,157919328,21,983844.4187,46849.73422,269026.0625,4,2,9.52
139,Kolkata,Current,102060600,20,600201.4294,30010.07147,115653.0078,5,1,5
140,Hyderabad,Current,13298491,14,565860.0913,40418.57795,230846.4375,0,0,0
141,Hyderabad,Premium,164456336,25,596937.4249,23877.49699,139068.9063,8,3,12
142,Delhi,Current,50865552,11,372051.502,33822.86381,200127.3125,0,2,18.18
143,Bangalore,Premium,485967104,15,379457.2398,25297.14932,127843.0313,0,1,6.67
144,Chennai,Current,87112208,22,969825.8456,44082.99298,223344.875,9,4,18.18
145,Mumbai,Premium,39332880,24,909646.3536,37901.9314,248686.6563,0,5,20.83
146,Delhi,Current,237498672,22,707719.4185,32169.06448,200030,9,0,0
147,Pune,Current,86211424,29,713082.2641,24589.04359,262543.5313,6,2,6.9
148,Pune,Premium,595177152,26,237939.5013,9151.519281,52278.94922,0,1,3.85
149,Hyderabad,Current,88635568,24,843916.2405,35163.17669,158380.8594,8,2,8.33
150,Bangalore,Current,48922344,22,1184927.671,53860.3487,270913.125,9,1,4.55
151,Pune,Premium,256903840,23,958993.9987,41695.39125,255653.2344,0,2,8.7
152,Hyderabad,Premium,43070288,22,1263037.438,57410.79262,201821.0938,4,4,18.18
153,Bangalore,Premium,28171330,17,887465.9989,52203.88229,134876.7969,5,7,41.18
154,Mumbai,Premium,21785268,19,721735.6311,37986.08585,183462.5,10,3,15.79
155,Delhi,Current,34704244,18,439247.1746,24402.62081,62598.92969,5,1,5.56
156,Mumbai,Current,52744032,21,850797.6172,40514.17225,189239.875,4,2,9.52
157,Pune,Premium,74955592,20,1284349.83,64217.49152,214206.875,5,1,5
158,Chennai,Current,34979588,13,571331.5832,43948.58332,128840.5391,0,1,7.69
159,Chennai,Premium,54536232,18,907244.4036,50402.46686,180559.0625,0,1,5.56
160,Mumbai,Premium,21999904,15,1166134.796,77742.31976,203933.9063,0,1,6.67
161,Delhi,Current,229508320,14,212973.8081,15212.41486,38289.44922,0,0,0
162,Delhi,Current,55526332,20,861723.5955,43086.17977,137214.9844,5,0,0
163,Mumbai,Current,49860832,25,453200.9722,18128.03889,53410.71094,8,4,16
164,Chennai,Current,49903864,18,1084714.126,60261.89589,248287.2813,0,2,11.11
165,Mumbai,Current,140154784,21,831699.9994,39604.76188,199876.5,9,2,9.52
166,Kolkata,Premium,114486840,22,337176.3644,15326.19838,47335.53906,0,0,0
167,Kolkata,Premium,51501716,26,714000.8741,27461.57208,121808.5469,15,1,3.85
168,Mumbai,Current,381697728,16,830390.1242,51899.38276,241646.2656,6,1,6.25
169,Pune,Current,113959456,25,1050161.335,42006.45341,201004.7813,0,0,0
170,Pune,Current,117246128,25,1049393.122,41975.72487,182439.0625,8,3,12
171,Hyderabad,Current,48011176,27,1624921.34,60182.27184,275985.5313,11,11,40.74
172,Ahmedabad,Current,196294576,20,679447.2394,33972.36197,211325.4531,0,1,5
173,Hyderabad,Premium,24993392,26,623423.7918,23977.83815,159247.8438,0,0,0
174,Delhi,Current,61663400,19,572158.0537,30113.58177,160414.3438,0,2,10.53
175,Mumbai,Current,33441994,23,1115815.099,48513.69994,190618.2969,13,4,17.39
176,Delhi,Current,421347520,19,700918.3774,36890.44092,175296.9531,0,0,0
177,Mumbai,Current,35195240,27,841345.0518,31160.92784,138580.1563,3,1,3.7
178,Hyderabad,Premium,71665096,27,607576.3233,22502.82679,123589.6172,0,1,3.7
179,Bangalore,Premium,204575488,21,794686.5705,37842.21764,174929.2656,0,1,4.76
180,Delhi,Current,59914516,19,850193.5267,44747.02772,178646.125,10,3,15.79
181,Ahmedabad,Premium,35933784,25,278089.9729,11123.59892,91593.67188,8,2,8
182,Bangalore,Current,194664016,18,1487141.999,82618.99993,219851.2813,0,0,0
183,Mumbai,Premium,261064784,19,1204212.16,63379.58739,260109.6563,0,2,10.53
184,Pune,Premium,95341664,25,644698.4734,25787.93894,112302.9297,8,1,4
185,Kolkata,Current,142387216,24,1419081.956,59128.41485,252394.5625,0,2,8.33
186,Ahmedabad,Current,183023696,19,697695.8821,36720.8359,233683.9531,5,2,10.53
187,Bangalore,Premium,54836708,15,929230.3658,61948.69105,223553.6563,6,5,33.33
188,Kolkata,Current,295671072,23,540154.1104,23484.96132,139946.9688,4,1,4.35
189,Pune,Current,113874600,22,1808287.713,82194.89603,235554.3125,4,3,13.64
190,Delhi,Premium,55075156,22,483121.3725,21960.06239,203208.2344,4,2,9.09
191,Bangalore,Premium,104074528,23,266506.4708,11587.23786,65356.28906,4,1,4.35
192,Delhi,Premium,61471388,26,930318.7898,35781.49192,202565.7188,0,1,3.85
193,Chennai,Current,51102508,22,457214.9069,20782.49577,105793.3906,4,2,9.09
194,Bangalore,Premium,13104572,39,1120013.579,28718.29689,164417.0625,7,2,5.13
195,Pune,Current,72411520,21,1209309.558,57586.16945,193623.1094,0,4,19.05
196,Kolkata,Current,150340704,22,1471839.533,66901.79695,230278.5469,9,5,22.73
197,Ahmedabad,Premium,23134408,22,1053780.658,47899.12082,233654.25,13,12,54.55
198,Pune,Premium,516593568,16,679642.0023,42477.62514,135614.4688,0,2,12.5
199,Pune,Premium,55155552,22,400663.329,18211.9695,129356.4688,0,0,0
200,Mumbai,Current,75011912,16,563167.441,35197.96507,161371.9375,6,0,0
201,Ahmedabad,Current,81176912,19,1058346.765,55702.46133,182083.7031,5,4,21.05
202,Ahmedabad,Current,33137658,34,2041796.486,60052.83784,253625.6875,0,2,5.88
203,Ahmedabad,Current,75088232,20,460090.0685,23004.50343,118316.1797,5,2,10
204,Ahmedabad,Premium,47637388,25,844181.1242,33767.24497,237838.5313,20,6,24
205,Pune,Current,42264112,19,791396.9092,41652.46891,190430.5156,10,2,10.53
206,Delhi,Premium,32559012,15,414331.1979,27622.07986,127238.1328,0,1,6.67
207,Kolkata,Current,113506256,23,1291810.166,56165.65937,239517.2656,0,3,13.04
208,Pune,Premium,341023584,16,190983.6385,11936.47741,34580.69141,12,0,0
209,Mumbai,Current,466920960,22,893534.7086,40615.21403,150740.3594,0,0,0
210,Chennai,Current,55191252,23,491630.4701,21375.23783,143705,8,8,34.78
211,Delhi,Premium,67084032,23,1353121.023,58831.34883,204039.0625,4,0,0
212,Bangalore,Premium,34744620,18,375087.4569,20838.19205,64765.46875,0,0,0
213,Chennai,Premium,42006268,17,430853.7245,25344.33673,163810.2031,5,4,23.53
214,Ahmedabad,Current,18013010,27,471184.6504,17451.28335,54561.32813,11,3,11.11
215,Delhi,Current,134639568,24,1350590.976,56274.62401,273216.7188,8,3,12.5
216,Hyderabad,Current,37222528,19,273839.2505,14412.59213,61981.82031,5,1,5.26
217,Kolkata,Premium,33680100,17,466937.5809,27466.91653,141896.3906,5,1,5.88
218,Chennai,Current,223382944,22,781948.6768,35543.12167,151564,9,0,0
219,Pune,Current,301751456,22,155995.8892,7090.722235,35866.33984,0,1,4.55
220,Kolkata,Current,16666665,23,709103.121,30830.57048,183076.2031,0,4,17.39
221,Pune,Current,47659996,29,1361553.337,46950.11505,209861.0781,13,3,10.34
222,Hyderabad,Premium,65265868,19,1161449.566,61128.9245,276567.0313,0,4,21.05
223,Chennai,Current,123140136,27,1189300.819,44048.17848,206054.5625,7,2,7.41
224,Kolkata,Premium,123080496,26,294582.9214,11330.11236,85412.35156,0,3,11.54
225,Chennai,Current,46959428,14,556736.7281,39766.90915,112903.3281,0,1,7.14
226,Mumbai,Premium,47938136,27,542886.3212,20106.90078,111626.1563,0,0,0
227,Delhi,Current,84948168,14,415837.8189,29702.70135,126862.5781,7,2,14.29
228,Ahmedabad,Current,60348604,26,313325.4315,12050.97814,126933.8906,0,0,0
229,Delhi,Premium,33716364,27,1010587.348,37429.16104,178744.5625,7,1,3.7
230,Mumbai,Premium,752551808,24,1273225.298,53051.0541,172161.9063,8,2,8.33
231,Chennai,Current,95160056,16,903469.4823,56466.84264,206533.5156,18,0,0
232,Pune,Premium,99929296,30,1513996.057,50466.53524,241752.375,6,2,6.67
233,Hyderabad,Current,59445448,20,1000082.475,50004.12374,255042.25,5,2,10
234,Delhi,Premium,63142696,22,422868.6501,19221.30228,126951.4766,4,1,4.55
235,Kolkata,Current,44800144,31,684090.0409,22067.42067,182702.0781,0,1,3.23
236,Mumbai,Premium,52857024,18,332789.3906,18488.29948,107991.1797,5,2,11.11
237,Bangalore,Premium,131295936,26,392963.7001,15113.98846,107760.5703,11,2,7.69
238,Delhi,Current,89849400,23,480044.2084,20871.48732,68921.21094,4,2,8.7
239,Pune,Premium,90539568,16,391913.4883,24494.59302,131424.2969,12,2,12.5
240,Kolkata,Current,1146015744,18,588268.937,32681.60761,111226.7734,5,2,11.11
241,Pune,Current,176903712,15,266096.6079,17739.77386,132028.0156,13,3,20
242,Bangalore,Current,47213924,26,504282.0413,19395.46313,143685.5469,7,0,0
243,Hyderabad,Premium,85049608,27,1602845.246,59364.63873,197354.1875,0,2,7.41
244,Chennai,Premium,19104890,27,271800.5512,10066.68708,38559.5,0,0,0
245,Chennai,Premium,84280256,26,688988.6106,26499.56194,202479.2188,3,5,19.23
246,Hyderabad,Premium,44792448,22,1111906.372,50541.19875,199466.125,9,4,18.18
247,Mumbai,Premium,37131856,27,1008358.361,37346.60596,255801.5625,3,2,7.41
248,Kolkata,Premium,25620504,22,586188.2041,26644.91837,106685.4063,0,0,0
249,Hyderabad,Current,133807808,22,1063116.714,48323.48701,128064.5703,4,0,0
250,Bangalore,Current,24921780,24,1454690.62,60612.10917,269106.3438,4,3,12.5
251,Ahmedabad,Current,76156568,19,873526.344,45975.07074,166920.4063,5,1,5.26
252,Mumbai,Current,21778996,13,437433.6842,33648.74494,164365.2656,0,2,15.38
253,Chennai,Current,61943400,23,958793.3945,41686.66933,239574.5938,8,4,17.39
254,Mumbai,Current,100956080,32,495947.5714,15498.36161,65203.17188,6,1,3.13
255,Ahmedabad,Premium,103066528,24,1010523.411,42105.14213,208782.875,4,3,12.5
256,Delhi,Premium,43089752,22,789163.9911,35871.09051,238049.4688,0,0,0
257,Hyderabad,Premium,19935304,22,1696469.186,77112.23574,261764.8438,0,2,9.09
258,Kolkata,Premium,22075286,20,747931.514,37396.5757,181907.4375,10,1,5
259,Ahmedabad,Current,103723544,19,326059.5848,17161.03078,108041.3672,0,0,0
260,Pune,Current,40943308,13,420784.9488,32368.07298,139287.1406,0,2,15.38
261,Ahmedabad,Current,302091648,15,521075.7345,34738.3823,144741.8125,0,2,13.33
262,Chennai,Current,24511364,19,517760.1696,27250.53524,68213.67188,5,1,5.26
263,Mumbai,Current,24488286,23,1317131.792,57266.59965,248912.9375,4,0,0
264,Pune,Premium,19482884,15,799653.332,53310.22213,265745.6875,0,2,13.33
265,Pune,Current,14818646,24,1139733.044,47488.87683,194026.75,4,3,12.5
266,Bangalore,Current,101824128,16,65592.2605,4099.516281,9868.959961,0,0,0
267,Delhi,Premium,115002808,18,302656.5715,16814.25397,62665.80859,11,1,5.56
268,Mumbai,Current,35374000,15,161141.1754,10742.74502,67041.13281,6,1,6.67
269,Delhi,Premium,204747728,14,1133465.646,80961.83182,245601.9844,7,3,21.43
270,Hyderabad,Current,45735348,25,817152.4561,32686.09824,154809.8125,8,2,8
271,Delhi,Current,75770184,20,407374.2875,20368.71438,85349.90625,5,3,15
272,Mumbai,Current,37220904,26,956957.7853,36806.06867,170231.7656,15,3,11.54
273,Chennai,Current,49182712,28,1123886.056,40138.78773,207393.7969,3,2,7.14
274,Mumbai,Current,83221656,17,1098734.296,64631.42917,217607.9688,11,2,11.76
275,Pune,Current,31582164,22,182113.871,8277.903226,42191.46094,4,2,9.09
276,Kolkata,Current,92842752,12,847328.0037,70610.66697,216666.8438,0,4,33.33
277,Bangalore,Current,328704608,24,1025232.005,42718.00023,255958.6875,0,2,8.33
278,Kolkata,Premium,77444672,15,643126.3596,42875.09064,163354.4844,13,2,13.33
279,Hyderabad,Current,26998492,17,339161.7781,19950.69283,81909.07813,11,1,5.88
280,Hyderabad,Current,48119204,24,919165.693,38298.57054,200648.2031,4,1,4.17
281,Mumbai,Premium,29001644,30,1421626.901,47387.56337,194551.1875,0,11,36.67
282,Chennai,Premium,12508653,23,570940.69,24823.50826,188900.125,4,3,13.04
283,Bangalore,Premium,46490088,19,774038.0883,40738.84675,154791.9688,0,2,10.53
284,Bangalore,Current,85204520,15,336116.4414,22407.76276,153257.4531,0,1,6.67
285,Chennai,Current,42728024,16,290551.3865,18159.46166,121803.4375,0,0,0
286,Delhi,Premium,51742032,16,486260.359,30391.27244,128311.6016,18,4,25
287,Chennai,Current,73729568,27,915169.3976,33895.16287,182656.7031,7,3,11.11
288,Ahmedabad,Current,410960288,21,558240.0919,26582.86152,133728.1406,0,0,0
289,Mumbai,Current,70564232,25,881543.6197,35261.74479,162405.9063,0,3,12
290,Pune,Premium,464597696,20,328915.1942,16445.75971,69965.1875,0,8,40
291,Hyderabad,Premium,521515840,29,1753624.042,60469.79457,264144.9375,13,2,6.9
292,Mumbai,Premium,144287472,26,1648033.421,63385.9008,242187.6875,0,2,7.69
293,Ahmedabad,Current,69401624,21,1072462.175,51069.62738,154923.7031,4,1,4.76
294,Kolkata,Current,53563308,15,472675.1312,31511.67542,174265.2031,13,1,6.67
295,Ahmedabad,Current,318077440,21,886069.3508,42193.77861,207070.3281,4,2,9.52
296,Bangalore,Current,30085926,25,1168226.651,46729.06603,130770.0469,0,0,0
297,Kolkata,Premium,46322216,25,760216.3752,30408.65501,135414.7031,0,2,8
298,Chennai,Premium,151946752,20,1150013.833,57500.69166,250128.9531,5,1,5
299,Ahmedabad,Premium,145339120,24,381388.3847,15891.1827,52847.78906,12,3,12.5
300,Chennai,Current,71262768,27,892968.8332,33072.91975,208518.2031,7,2,7.41
301,Ahmedabad,Current,106169216,22,1002801.043,45581.86558,168019.0938,0,2,9.09
302,Hyderabad,Current,38036932,17,601616.3126,35389.19486,166970.0938,5,2,11.76
303,Ahmedabad,Current,51027232,34,1688731.917,49668.5858,248628.9063,11,3,8.82
304,Ahmedabad,Current,25240752,20,635175.2566,31758.76283,130722.6484,0,2,10
305,Hyderabad,Current,134410704,27,1719250.893,63675.959,240860.625,3,1,3.7
306,Pune,Current,31240064,19,553969.3527,29156.28172,122690.6094,5,1,5.26
307,Delhi,Premium,149760016,23,505984.9378,21999.34512,247596.5156,8,1,4.35
308,Pune,Current,736225472,14,616030.6045,44002.18604,135099.6563,7,1,7.14
309,Hyderabad,Current,347409920,25,1335714.96,53428.5984,226381.0938,0,12,48
310,Bangalore,Current,73807872,21,633527.4827,30167.97537,139812.9531,4,0,0
311,Ahmedabad,Current,189449600,22,625346.5731,28424.84423,196140.3438,13,1,4.55
312,Mumbai,Premium,69289928,30,1582534.37,52751.14566,271340.6563,6,3,10
313,Pune,Current,21025796,21,574089.4904,27337.59478,232830.6563,9,3,14.29
314,Delhi,Current,24229294,21,1262070.922,60098.61531,214317.0625,4,3,14.29
315,Chennai,Premium,121168304,23,586694.0925,25508.43881,134224.6875,8,2,8.7
316,Mumbai,Premium,62383916,24,652239.8435,27176.66015,114862.6094,4,2,8.33
317,Ahmedabad,Current,216170512,17,935733.9331,55043.17254,272622.75,0,2,11.76
318,Hyderabad,Current,25368984,25,497628.8129,19905.15252,177173.1875,4,2,8
319,Chennai,Premium,83097912,27,2162553.171,80094.56189,264397.8438,0,7,25.93
320,Delhi,Current,28178144,23,1296271.307,56359.62206,245190.5781,4,6,26.09
321,Ahmedabad,Premium,17022658,25,383294.217,15331.76868,67098.32031,8,2,8
322,Hyderabad,Premium,26476572,19,1268173.567,66745.97723,182417.9219,10,1,5.26
323,Mumbai,Current,66948596,16,277576.9973,17348.56233,76429.35938,6,3,18.75
324,Hyderabad,Current,68887728,17,653116.7365,38418.63156,257912.6719,5,2,11.76
325,Delhi,Current,367324512,24,1301925.484,54246.89518,214755.4219,4,1,4.17
326,Pune,Current,1370307712,26,1283360.217,49360.00834,204241.3125,3,2,7.69
327,Pune,Current,37457860,27,2349379.369,87014.05071,276347.6875,3,7,25.93
