customer_id,risk_score,risk_segment
31,46.75,Medium Risk
31,51.75,High Risk
31,32.5,Medium Risk
31,56.5,High Risk
31,34.25,Medium Risk
31,40.5,Medium Risk
31,26.75,Medium Risk
31,35.0,Medium Risk
31,30.5,Medium Risk
31,48.0,Medium Risk
31,49.0,Medium Risk
31,47.0,Medium Risk
31,27.5,Medium Risk
31,36.5,Medium Risk
31,39.75,Medium Risk
31,65.25,High Risk
31,58.0,High Risk
31,45.5,Medium Risk
31,28.0,Medium Risk
32,19.25,Low Risk
32,22.25,Low Risk
32,20.0,Low Risk
32,27.25,Medium Risk
32,29.0,Medium Risk
32,38.0,Medium Risk
32,74.0,High Risk
32,28.0,Medium Risk
32,24.25,Low Risk
32,32.5,Medium Risk
32,39.25,Medium Risk
32,39.75,Medium Risk
33,49.75,Medium Risk
33,27.5,Medium Risk
33,26.75,Medium Risk
33,36.5,Medium Risk
33,47.25,Medium Risk
33,20.0,Low Risk
33,19.25,Low Risk
33,74.0,High Risk
33,35.5,Medium Risk
33,31.75,Medium Risk
34,27.5,Medium Risk
34,31.75,Medium Risk
34,35.5,Medium Risk
34,34.75,Medium Risk
34,20.0,Low Risk
34,47.0,Medium Risk
34,43.0,Medium Risk
34,52.5,High Risk
34,26.75,Medium Risk
34,77.0,Critical Risk
34,32.5,Medium Risk
34,37.0,Medium Risk
34,56.75,High Risk
34,42.25,Medium Risk
35,27.25,Medium Risk
35,35.0,Medium Risk
35,26.75,Medium Risk
35,34.75,Medium Risk
35,19.25,Low Risk
35,20.0,Low Risk
35,49.75,Medium Risk
35,27.5,Medium Risk
35,40.5,Medium Risk
35,35.5,Medium Risk
35,43.0,Medium Risk
35,40.0,Medium Risk
35,39.5,Medium Risk
35,61.5,High Risk
35,22.25,Low Risk
36,23.0,Low Risk
36,35.5,Medium Risk
36,19.25,Low Risk
36,26.75,Medium Risk
36,40.0,Medium Risk
36,36.5,Medium Risk
36,27.5,Medium Risk
36,74.0,High Risk
36,28.75,Medium Risk
36,47.5,Medium Risk
36,20.0,Low Risk
36,47.25,Medium Risk
36,34.75,Medium Risk
36,44.75,Medium Risk
36,31.75,Medium Risk
36,37.25,Medium Risk
36,32.5,Medium Risk
36,64.0,High Risk
36,44.5,Medium Risk
37,52.5,High Risk
37,19.25,Low Risk
37,29.0,Medium Risk
37,46.0,Medium Risk
37,56.75,High Risk
37,27.25,Medium Risk
37,20.0,Low Risk
37,37.25,Medium Risk
37,47.5,Medium Risk
37,22.25,Low Risk
37,56.5,High Risk
37,28.0,Medium Risk
37,69.0,High Risk
38,20.0,Low Risk
38,46.75,Medium Risk
38,19.25,Low Risk
38,49.75,Medium Risk
38,27.25,Medium Risk
38,52.5,High Risk
38,43.0,Medium Risk
38,41.5,Medium Risk
38,29.0,Medium Risk
38,37.25,Medium Risk
38,27.5,Medium Risk
38,47.25,Medium Risk
38,23.0,Low Risk
38,47.5,Medium Risk
38,34.5,Medium Risk
38,31.75,Medium Risk
39,52.5,High Risk
39,19.25,Low Risk
39,41.5,Medium Risk
39,50.5,High Risk
39,39.5,Medium Risk
39,47.25,Medium Risk
39,31.75,Medium Risk
39,39.25,Medium Risk
39,51.75,High Risk
39,32.5,Medium Risk
39,82.0,Critical Risk
39,35.0,Medium Risk
39,56.75,High Risk
39,26.75,Medium Risk
39,47.5,Medium Risk
39,34.75,Medium Risk
40,38.0,Medium Risk
40,41.5,Medium Risk
40,57.5,High Risk
40,20.0,Low Risk
40,19.25,Low Risk
40,34.75,Medium Risk
40,66.5,High Risk
40,32.5,Medium Risk
40,22.25,Low Risk
40,57.25,High Risk
40,31.75,Medium Risk
40,33.75,Medium Risk
40,43.0,Medium Risk
40,74.5,High Risk
40,44.0,Medium Risk
40,29.0,Medium Risk
40,56.75,High Risk
40,46.75,Medium Risk
40,36.5,Medium Risk
41,40.5,Medium Risk
41,74.0,High Risk
41,36.5,Medium Risk
41,32.5,Medium Risk
41,19.25,Low Risk
41,20.0,Low Risk
41,42.25,Medium Risk
41,29.75,Medium Risk
41,28.0,Medium Risk
41,22.25,Low Risk
41,77.0,Critical Risk
41,56.5,High Risk
41,69.0,High Risk
41,27.25,Medium Risk
41,39.25,Medium Risk
41,26.75,Medium Risk
42,20.0,Low Risk
42,39.25,Medium Risk
42,27.5,Medium Risk
42,23.0,Low Risk
42,44.75,Medium Risk
42,26.75,Medium Risk
42,19.25,Low Risk
42,32.5,Medium Risk
42,36.5,Medium Risk
42,40.0,Medium Risk
42,28.0,Medium Risk
42,34.75,Medium Risk
43,63.5,High Risk
43,31.75,Medium Risk
43,41.5,Medium Risk
43,19.25,Low Risk
43,26.75,Medium Risk
43,27.5,Medium Risk
43,25.0,Low Risk
43,40.0,Medium Risk
43,20.0,Low Risk
43,30.5,Medium Risk
43,47.5,Medium Risk
43,22.25,Low Risk
43,56.75,High Risk
43,34.25,Medium Risk
43,52.5,High Risk
43,32.5,Medium Risk
43,54.5,High Risk
44,56.5,High Risk
44,20.0,Low Risk
44,34.75,Medium Risk
44,40.0,Medium Risk
44,46.75,Medium Risk
44,72.0,High Risk
44,19.25,Low Risk
44,22.25,Low Risk
44,40.5,Medium Risk
44,50.5,High Risk
44,35.0,Medium Risk
44,48.0,Medium Risk
45,50.5,High Risk
45,64.0,High Risk
45,74.0,High Risk
45,26.75,Medium Risk
45,34.75,Medium Risk
45,39.25,Medium Risk
45,51.5,High Risk
45,44.75,Medium Risk
45,82.0,Critical Risk
45,37.25,Medium Risk
45,27.5,Medium Risk
45,32.5,Medium Risk
45,61.5,High Risk
45,19.25,Low Risk
46,69.0,High Risk
46,26.75,Medium Risk
46,28.0,Medium Risk
46,39.25,Medium Risk
46,50.5,High Risk
46,92.0,Critical Risk
46,51.75,High Risk
46,38.0,Medium Risk
46,32.5,Medium Risk
46,77.0,Critical Risk
46,19.25,Low Risk
46,20.0,Low Risk
46,34.25,Medium Risk
46,40.0,Medium Risk
46,74.5,High Risk
46,55.5,High Risk
47,19.25,Low Risk
47,46.75,Medium Risk
47,45.25,Medium Risk
47,27.5,Medium Risk
47,35.0,Medium Risk
47,34.25,Medium Risk
47,74.0,High Risk
47,20.0,Low Risk
47,39.25,Medium Risk
47,55.5,High Risk
47,39.75,Medium Risk
47,31.75,Medium Risk
47,35.5,Medium Risk
47,32.5,Medium Risk
47,27.25,Medium Risk
47,49.75,Medium Risk
47,52.5,High Risk
47,47.5,Medium Risk
47,22.25,Low Risk
47,40.0,Medium Risk
48,40.0,Medium Risk
48,38.0,Medium Risk
48,35.0,Medium Risk
48,41.25,Medium Risk
48,19.25,Low Risk
48,70.0,High Risk
48,37.25,Medium Risk
48,52.5,High Risk
48,41.0,Medium Risk
48,74.0,High Risk
48,21.25,Low Risk
48,20.0,Low Risk
48,39.25,Medium Risk
48,28.0,Medium Risk
48,57.5,High Risk
48,34.75,Medium Risk
48,34.25,Medium Risk
49,69.0,High Risk
49,56.5,High Risk
49,19.25,Low Risk
49,44.5,Medium Risk
49,40.0,Medium Risk
49,31.75,Medium Risk
49,53.0,High Risk
49,20.0,Low Risk
49,49.75,Medium Risk
49,49.0,Medium Risk
49,47.0,Medium Risk
49,34.25,Medium Risk
49,65.5,High Risk
49,51.75,High Risk
49,43.0,Medium Risk
49,47.5,Medium Risk
49,39.75,Medium Risk
49,22.25,Low Risk
49,39.25,Medium Risk
49,77.0,Critical Risk
50,32.5,Medium Risk
50,54.75,High Risk
50,40.0,Medium Risk
50,46.0,Medium Risk
50,30.5,Medium Risk
50,19.25,Low Risk
50,31.75,Medium Risk
50,57.5,High Risk
50,20.0,Low Risk
50,51.75,High Risk
50,34.25,Medium Risk
50,22.25,Low Risk
50,29.0,Medium Risk
50,52.5,High Risk
50,40.5,Medium Risk
50,61.5,High Risk
51,46.75,Medium Risk
51,35.0,Medium Risk
51,22.25,Low Risk
51,19.25,Low Risk
51,40.25,Medium Risk
51,28.0,Medium Risk
51,61.5,High Risk
51,29.75,Medium Risk
51,27.25,Medium Risk
51,56.75,High Risk
51,23.0,Low Risk
51,26.75,Medium Risk
51,47.5,Medium Risk
51,29.0,Medium Risk
51,31.75,Medium Risk
51,58.0,High Risk
51,20.0,Low Risk
51,48.0,Medium Risk
51,53.75,High Risk
51,39.75,Medium Risk
51,34.25,Medium Risk
51,52.0,High Risk
52,69.0,High Risk
52,57.5,High Risk
52,39.25,Medium Risk
52,27.5,Medium Risk
52,19.25,Low Risk
52,20.0,Low Risk
52,45.25,Medium Risk
52,34.25,Medium Risk
52,58.0,High Risk
52,48.0,Medium Risk
52,32.5,Medium Risk
52,26.75,Medium Risk
52,40.0,Medium Risk
52,51.5,High Risk
52,31.75,Medium Risk
52,28.0,Medium Risk
53,22.25,Low Risk
53,26.75,Medium Risk
53,19.25,Low Risk
53,65.5,High Risk
53,74.0,High Risk
53,52.5,High Risk
53,46.75,Medium Risk
53,37.0,Medium Risk
53,40.0,Medium Risk
53,29.0,Medium Risk
53,20.0,Low Risk
53,61.5,High Risk
53,51.75,High Risk
53,22.0,Low Risk
53,27.25,Medium Risk
54,35.0,Medium Risk
54,56.75,High Risk
54,20.0,Low Risk
54,57.5,High Risk
54,29.0,Medium Risk
54,47.25,Medium Risk
54,34.25,Medium Risk
54,39.25,Medium Risk
54,39.75,Medium Risk
54,32.5,Medium Risk
54,24.25,Low Risk
54,46.75,Medium Risk
54,53.0,High Risk
55,22.25,Low Risk
55,74.0,High Risk
55,52.5,High Risk
55,19.25,Low Risk
55,56.75,High Risk
55,32.5,Medium Risk
55,28.0,Medium Risk
55,64.0,High Risk
55,29.0,Medium Risk
55,20.0,Low Risk
55,35.0,Medium Risk
55,59.75,High Risk
56,19.25,Low Risk
56,51.75,High Risk
56,72.0,High Risk
56,46.75,Medium Risk
56,20.0,Low Risk
56,42.25,Medium Risk
56,31.75,Medium Risk
56,37.25,Medium Risk
56,35.0,Medium Risk
56,45.25,Medium Risk
56,48.0,Medium Risk
56,27.5,Medium Risk
56,22.25,Low Risk
56,56.75,High Risk
56,36.5,Medium Risk
56,25.0,Low Risk
56,57.5,High Risk
56,49.75,Medium Risk
57,31.75,Medium Risk
57,34.25,Medium Risk
57,54.75,High Risk
57,72.0,High Risk
57,74.0,High Risk
57,52.5,High Risk
57,28.0,Medium Risk
57,55.5,High Risk
57,36.5,Medium Risk
57,39.75,Medium Risk
57,46.75,Medium Risk
57,51.75,High Risk
57,51.5,High Risk
57,56.5,High Risk
57,22.25,Low Risk
57,42.25,Medium Risk
57,26.75,Medium Risk
57,47.5,Medium Risk
57,35.5,Medium Risk
57,27.25,Medium Risk
57,20.0,Low Risk
57,29.0,Medium Risk
57,19.25,Low Risk
57,67.0,High Risk
57,34.5,Medium Risk
58,34.25,Medium Risk
58,26.75,Medium Risk
58,27.25,Medium Risk
58,69.0,High Risk
58,82.0,Critical Risk
58,20.0,Low Risk
58,19.25,Low Risk
58,23.0,Low Risk
58,29.0,Medium Risk
59,19.25,Low Risk
59,20.0,Low Risk
59,36.25,Medium Risk
59,56.5,High Risk
59,64.0,High Risk
59,51.75,High Risk
59,46.75,Medium Risk
59,29.0,Medium Risk
59,49.0,Medium Risk
60,64.0,High Risk
60,74.0,High Risk
60,31.75,Medium Risk
60,20.0,Low Risk
60,46.0,Medium Risk
60,77.0,Critical Risk
60,19.25,Low Risk
60,51.75,High Risk
60,57.5,High Risk
60,38.0,Medium Risk
60,27.5,Medium Risk
60,61.5,High Risk
60,41.5,Medium Risk
60,28.0,Medium Risk
60,66.5,High Risk
60,32.0,Medium Risk
60,52.5,High Risk
61,34.75,Medium Risk
61,20.0,Low Risk
61,92.0,Critical Risk
61,34.25,Medium Risk
61,40.0,Medium Risk
61,42.25,Medium Risk
61,35.0,Medium Risk
61,39.25,Medium Risk
61,19.25,Low Risk
61,52.5,High Risk
61,26.75,Medium Risk
61,28.0,Medium Risk
61,22.25,Low Risk
61,74.0,High Risk
61,41.5,Medium Risk
61,31.75,Medium Risk
62,60.5,High Risk
62,35.0,Medium Risk
62,51.75,High Risk
62,20.0,Low Risk
62,46.75,Medium Risk
62,56.5,High Risk
62,32.0,Medium Risk
62,19.25,Low Risk
62,57.5,High Risk
62,52.5,High Risk
62,39.25,Medium Risk
63,20.0,Low Risk
63,38.0,Medium Risk
63,44.0,Medium Risk
63,29.0,Medium Risk
63,47.5,Medium Risk
63,23.0,Low Risk
63,64.5,High Risk
63,19.25,Low Risk
63,69.0,High Risk
63,27.25,Medium Risk
63,26.75,Medium Risk
63,46.75,Medium Risk
63,58.0,High Risk
63,52.5,High Risk
63,28.0,Medium Risk
63,64.0,High Risk
63,48.0,Medium Risk
63,49.0,Medium Risk
64,35.0,Medium Risk
64,31.75,Medium Risk
64,74.0,High Risk
64,34.75,Medium Risk
64,26.75,Medium Risk
64,32.5,Medium Risk
64,28.0,Medium Risk
64,22.25,Low Risk
64,19.25,Low Risk
64,43.0,Medium Risk
64,82.0,Critical Risk
64,39.25,Medium Risk
64,69.0,High Risk
64,20.0,Low Risk
64,40.0,Medium Risk
64,27.25,Medium Risk
64,56.5,High Risk
65,19.25,Low Risk
65,69.0,High Risk
65,20.0,Low Risk
65,64.75,High Risk
65,22.25,Low Risk
65,27.25,Medium Risk
65,29.0,Medium Risk
65,32.5,Medium Risk
65,56.5,High Risk
66,34.75,Medium Risk
66,34.5,Medium Risk
66,22.25,Low Risk
66,29.75,Medium Risk
66,27.25,Medium Risk
66,74.0,High Risk
66,54.75,High Risk
66,20.0,Low Risk
66,40.0,Medium Risk
66,32.5,Medium Risk
66,50.5,High Risk
66,26.75,Medium Risk
66,19.25,Low Risk
66,47.5,Medium Risk
66,30.5,Medium Risk
66,35.0,Medium Risk
66,40.25,Medium Risk
66,40.5,Medium Risk
66,37.25,Medium Risk
67,57.75,High Risk
67,72.75,High Risk
67,27.25,Medium Risk
67,19.25,Low Risk
67,26.75,Medium Risk
67,42.25,Medium Risk
67,41.5,Medium Risk
67,20.0,Low Risk
67,34.75,Medium Risk
67,34.25,Medium Risk
67,39.25,Medium Risk
67,32.5,Medium Risk
67,37.25,Medium Risk
67,27.5,Medium Risk
67,47.25,Medium Risk
67,64.5,High Risk
67,38.5,Medium Risk
67,38.0,Medium Risk
68,32.5,Medium Risk
68,20.0,Low Risk
68,34.25,Medium Risk
68,35.5,Medium Risk
68,27.25,Medium Risk
68,19.25,Low Risk
68,92.0,Critical Risk
68,47.25,Medium Risk
68,22.25,Low Risk
68,34.75,Medium Risk
68,57.5,High Risk
68,36.5,Medium Risk
68,31.75,Medium Risk
68,51.5,High Risk
68,74.0,High Risk
68,27.5,Medium Risk
68,39.25,Medium Risk
69,19.25,Low Risk
69,40.5,Medium Risk
69,26.75,Medium Risk
69,20.0,Low Risk
69,38.0,Medium Risk
69,37.25,Medium Risk
69,27.5,Medium Risk
69,31.75,Medium Risk
69,43.0,Medium Risk
69,56.5,High Risk
69,45.25,Medium Risk
70,19.25,Low Risk
70,27.5,Medium Risk
70,56.5,High Risk
70,39.25,Medium Risk
70,34.75,Medium Risk
70,45.25,Medium Risk
70,40.0,Medium Risk
70,27.25,Medium Risk
70,40.5,Medium Risk
70,56.75,High Risk
70,28.0,Medium Risk
70,20.0,Low Risk
70,35.5,Medium Risk
70,74.0,High Risk
70,48.0,Medium Risk
70,37.0,Medium Risk
70,57.5,High Risk
70,64.0,High Risk
71,37.25,Medium Risk
71,19.25,Low Risk
71,39.25,Medium Risk
71,31.75,Medium Risk
71,30.5,Medium Risk
71,77.0,Critical Risk
71,64.5,High Risk
71,46.75,Medium Risk
71,35.0,Medium Risk
71,36.25,Medium Risk
71,74.0,High Risk
71,34.25,Medium Risk
71,59.25,High Risk
71,56.75,High Risk
71,57.0,High Risk
71,28.0,Medium Risk
71,72.0,High Risk
71,27.25,Medium Risk
71,40.0,Medium Risk
72,51.5,High Risk
72,19.25,Low Risk
72,20.0,Low Risk
72,31.75,Medium Risk
72,27.25,Medium Risk
72,35.0,Medium Risk
72,52.5,High Risk
72,53.5,High Risk
72,39.25,Medium Risk
72,57.5,High Risk
72,69.0,High Risk
72,40.0,Medium Risk
72,34.25,Medium Risk
73,19.25,Low Risk
73,31.75,Medium Risk
73,28.0,Medium Risk
73,29.75,Medium Risk
73,65.5,High Risk
73,32.5,Medium Risk
73,36.5,Medium Risk
73,27.5,Medium Risk
73,26.75,Medium Risk
73,38.0,Medium Risk
73,37.25,Medium Risk
73,32.0,Medium Risk
73,35.5,Medium Risk
73,40.0,Medium Risk
73,20.0,Low Risk
73,69.0,High Risk
73,56.75,High Risk
74,19.25,Low Risk
74,39.25,Medium Risk
74,29.0,Medium Risk
74,36.5,Medium Risk
